"","cam","X","lon","lat","Land.Use","Veg","meanDiurnal","isothermal","meanTwetQ","meanTdryQ","precipseas","precipwarmQ","Elevation","FPAR","Pop.Density","Dist.FW","Dist.Road","Fire.Freq","Top.Roughness","dtnt","count_unique_cats","IDImg","unImg","IPC","Un.Est","Coat"
"1","1_1",1,147.8327,-42.75717,"Reserve","Woodland",8.4975004196167,0.518140256404877,8.39999961853027,10.1999998092651,0.13172872364521,187,178.425186157227,0.290813386440277,1.72257113456726,7595.77197265625,0,1,83,2.9,NA,NA,NA,NA,NA,"TB"
"2","1_2",2,147.83321,-42.76619,"Reserve","Woodland",8.53416633605957,0.51974219083786,8.69999980926514,10.3999996185303,0.129712551832199,185,161.653457641602,0.289635330438614,1.37356197834015,6584.44677734375,0,1,94,2.7,NA,NA,NA,NA,NA,"BB"
"3","10_1",3,147.85566,-42.24482,"Reserve","TallEuc",9.03250026702881,0.505739092826843,10.3999996185303,11.6999998092651,0.144759684801102,169,601.495666503906,0.248863086104393,0,3300.7548828125,149.470306396484,0,38,6,NA,NA,NA,NA,NA,"TB"
"4","10_2",4,147.84678,-42.24907,"Modified","TallEuc",9.1274995803833,0.507083356380463,10.5,11.8000001907349,0.146467566490173,165,587.635437011719,0.269619524478912,0,2912.01049804688,6.48731565475464,0,35,6.2,NA,NA,NA,NA,NA,"BB"
"5","10_3",5,147.84894,-42.25643,"Modified","TallEuc",9.24666690826416,0.510020196437836,10.6999998092651,12.1000003814697,0.148309603333473,159,532.038208007812,0.229066148400307,0,3683.05126953125,0.770216166973114,0,55,7,NA,NA,NA,NA,NA,"BB"
"6","11_1",6,147.7622,-42.20956,"Reserve","TallEuc",10.0491666793823,0.520143210887909,11.5,12.6999998092651,0.160945534706116,135,467.073089599609,0.296708732843399,0,2323.46752929688,0,0,56,5.3,NA,NA,NA,NA,NA,"TB"
"7","11_2",7,147.76811,-42.22156,"Reserve","TallEuc",9.73416709899902,0.514762938022614,11,12.3000001907349,0.157962471246719,142,515.619384765625,0.301588743925095,0,1583.13903808594,0,0,63,5.4,NA,NA,NA,NA,NA,"TB"
"8","11_3",8,147.75361,-42.23563,"Reserve","TallEuc",9.48750019073486,0.510629713535309,10.6000003814697,11.8999996185303,0.153399258852005,153,540.470886230469,0.281787306070328,0,2313.3408203125,10.368049621582,0,47,7.2,NA,NA,NA,NA,NA,"BB"
"9","11_4",9,147.74571,-42.21949,"Reserve","TallEuc",9.93416690826416,0.517404496669769,11.1999998092651,12.5,0.159833520650864,138,510.691680908203,0.305426180362701,0,3152.63159179688,0,0,33,6.9,NA,NA,NA,NA,NA,"BB"
"10","12_1",10,147.88285,-42.20484,"Reserve","Shurbland",9.19583320617676,0.509182333946228,10.6000003814697,12,0.145153895020485,165,578.949768066406,0.245295181870461,0,2228.83764648438,177.10090637207,0,88,5,NA,NA,NA,NA,NA,"B"
"11","12_2",11,147.8683,-42.18764,"Modified","TallEuc",9.29249954223633,0.509736716747284,10.6000003814697,12,0.14716149866581,163,566.844787597656,0.278195887804031,0,3275.6396484375,378.902923583984,0,21,3.8,NA,NA,NA,NA,NA,"O"
"12","12_3",12,147.88014,-42.20071,"Modified","TallEuc",9.09000015258789,0.506688952445984,10.3999996185303,11.8000001907349,0.143697530031204,171,578.218994140625,0.252601653337479,0,2902.21459960938,0,0,25,4.7,NA,NA,NA,NA,NA,"TB"
"13","13_1",13,147.86084,-42.18164,"Reserve","TallEuc",9.56166648864746,0.514621436595917,11.1000003814697,12.3999996185303,0.150110363960266,154,513.673889160156,0.274805545806885,0,4340.67333984375,244.95344543457,0,61,3.5,NA,NA,NA,NA,NA,"BB"
"14","13_2",14,147.87085,-42.1762,"Modified","TallEuc",9.16666698455811,0.507286489009857,10.3999996185303,11.8000001907349,0.144829913973808,170,580.421875,0.23955275118351,0,4469.609375,0,0,53,4.5,NA,NA,NA,NA,NA,"BB"
"15","16_1",15,147.9283,-42.14565,"Modified","TallEuc",9.64999961853027,0.518259942531586,11.5,12.6999998092651,0.144636884331703,159,431.740020751953,0.275154292583466,0,7471.546875,0,0,19,10.3,NA,NA,NA,NA,NA,"B"
