"cam","BB","BO","TO","TB","TS","SB","Top.Roughness","Dist.FW","FPAR","Elevation","isothermal","Veg","Land.Use","Soil.Class"
"1_1",0,0,0,1,0,0,83,7595.77197265625,0.290813386440277,178.425186157227,0.518140256404877,"Woodland","Reserve","3"
"1_2",2,0,0,3,0,0,94,6584.44677734375,0.289635330438614,161.653457641602,0.51974219083786,"Woodland","Reserve","3"
"10_1",0,0,0,2,0,0,38,3300.7548828125,0.248863086104393,601.495666503906,0.505739092826843,"TallEuc","Reserve","5"
"10_2",3,0,0,0,0,0,35,2912.01049804688,0.269619524478912,587.635437011719,0.507083356380463,"TallEuc","ModifiedNative","4"
"10_3",1,0,0,1,0,0,55,3683.05126953125,0.229066148400307,532.038208007812,0.510020196437836,"TallEuc","ModifiedNative","4"
"11_1",0,0,0,3,0,1,56,2323.46752929688,0.296708732843399,467.073089599609,0.520143210887909,"TallEuc","Reserve","4"
"11_2",0,0,0,1,0,0,63,1583.13903808594,0.301588743925095,515.619384765625,0.514762938022614,"TallEuc","Reserve","4"
"11_3",1,0,0,1,0,0,47,2313.3408203125,0.281787306070328,540.470886230469,0.510629713535309,"TallEuc","Reserve","4"
"11_4",5,0,0,0,0,0,33,3152.63159179688,0.305426180362701,510.691680908203,0.517404496669769,"TallEuc","Reserve","4"
"12_1",0,0,0,1,0,1,88,2228.83764648438,0.245295181870461,578.949768066406,0.509182333946228,"Shurbland","Reserve","4"
"12_2",1,0,1,1,0,0,21,3275.6396484375,0.278195887804031,566.844787597656,0.509736716747284,"TallEuc","ModifiedNative","4"
"12_3",1,0,4,5,0,0,25,2902.21459960938,0.252601653337479,578.218994140625,0.506688952445984,"TallEuc","ModifiedNative","4"
"13_1",1,0,0,0,0,0,61,4340.67333984375,0.274805545806885,513.673889160156,0.514621436595917,"TallEuc","Reserve","4"
"13_2",1,0,0,0,0,0,53,4469.609375,0.23955275118351,580.421875,0.507286489009857,"TallEuc","ModifiedNative","4"
"16_1",0,0,0,0,0,2,19,7471.546875,0.275154292583466,431.740020751953,0.518259942531586,"TallEuc","ModifiedNative","4"
"17_1",0,0,0,1,0,0,36,6362.9560546875,0.323621541261673,438.248077392578,0.521918535232544,"TallEuc","Reserve","4"
"18_1",0,0,3,0,0,0,37,3466.01391601562,0.271933943033218,527.177612304688,0.517662107944489,"TallEuc","Reserve","4"
"18_2",0,0,1,1,0,0,31,4534.20654296875,0.331885695457458,546.861267089844,0.513567984104156,"TallEuc","ModifiedNative","4"
"18_3",0,0,0,1,0,0,61,4191.60205078125,0.329193919897079,378.760375976562,0.521336138248444,"Woodland","Reserve","4"
"18_4",5,0,0,0,0,0,37,3466.01391601562,0.271933943033218,527.177612304688,0.517662107944489,"TallEuc","Reserve","4"
"19_1",0,0,0,0,0,0,79,2972.81811523438,0.323922902345657,517.893798828125,0.512408494949341,"TallEuc","Reserve","4"
"2_1",0,0,0,3,0,1,27,11002.87109375,0.352459460496902,311.286529541016,0.511606574058533,"Woodland","Reserve","3"
"2_2",0,0,0,2,0,0,106,10378.759765625,0.315107077360153,249.240264892578,0.51231175661087,"TallEuc","Reserve","3"
"2_3",0,0,0,4,0,0,31,8420.328125,0.328799098730087,128.149673461914,0.523271918296814,"TallEuc","Reserve","3"
"20_1",1,0,0,0,0,0,126,6081.89697265625,0.339349418878555,312.741607666016,0.529242753982544,"Woodland","Reserve","4"
"21_1",0,0,0,0,0,1,29,3331.3369140625,0.32062965631485,489.982513427734,0.516156017780304,"Woodland","Reserve","4"
"22_1",0,0,1,0,1,0,25,1685.17407226562,0.242727786302567,651.881713867188,0.507102787494659,"Shurbland","ModifiedNative","5"
"23_1",0,0,0,1,0,0,28,3917.0615234375,0.28128907084465,159.547012329102,0.531556010246277,"TallEuc","Reserve","11"
"23_2",0,0,0,0,0,4,72,6879.43701171875,0.30281338095665,273.240386962891,0.530129551887512,"Woodland","Reserve","11"
"23_3",0,0,1,0,0,3,52,7872.90234375,0.29092863202095,381.180938720703,0.519990921020508,"TallEuc","Reserve","11"
"24_1",0,0,0,0,0,0,49,11727.501953125,0.343096762895584,350.268524169922,0.528294742107391,"TallEuc","ModifiedNative","4"
"25_2",0,0,0,2,0,0,30,11682.7841796875,0.336683988571167,425.795166015625,0.524462521076202,"TallEuc","Reserve","4"
"26_3",0,0,0,0,0,2,107,10283.19921875,0.271840244531631,447.262817382812,0.522742688655853,"TallEuc","ModifiedNative","4"
"27_3",0,0,0,3,0,0,42,9763.17578125,0.311671704053879,845.617858886719,0.487059146165848,"TallEuc","Reserve","5"
"28_1",1,0,0,0,0,0,43,8079.8779296875,0.30682384967804,898.561828613281,0.481859087944031,"TallEuc","Reserve","5"
"28_2",2,0,0,0,0,0,138,8091.505859375,0.313412487506866,830.322570800781,0.49326691031456,"TallEuc","Reserve","5"
"29_1",0,0,1,0,0,0,31,770.901733398438,0.42557829618454,252.96647644043,0.532391488552094,"TallEuc","Farming","12"
"29_2",1,1,0,1,0,0,33,7146.85009765625,0.338489025831223,336.349090576172,0.530829966068268,"TallEuc","Reserve","4"
"29_4",0,0,1,0,0,0,30,2060.26635742188,0.402559012174606,391.433746337891,0.531116604804993,"Human/Other","Reserve","4"
"29_5",0,1,0,0,0,0,21,5037.515625,0.36094543337822,325.649230957031,0.529609143733978,"TallEuc","ModifiedNative","4"
"3_1",0,0,0,1,0,0,24,12301.9873046875,0.237799510359764,641.335266113281,0.494500190019608,"Shurbland","ModifiedNative","4"
"3_2",0,0,0,0,0,0,95,13608.96875,0.235170096158981,741.001403808594,0.489415138959885,"TallEuc","Reserve","4"
"3_3",0,0,0,1,0,2,126,13308.0458984375,0.239053413271904,717.655151367188,0.49035370349884,"TallEuc","ModifiedNative","4"
"3_4",0,0,0,0,0,5,19,13503.0576171875,0.283023536205292,904.232055664062,0.473910987377167,"TallEuc","Reserve","4"
"3_5",0,0,0,0,0,0,104,12327.2666015625,0.234393984079361,894.348571777344,0.471649497747421,"TallEuc","Reserve","13"
"3_6",0,0,0,0,0,1,23,11770.06640625,0.226728454232216,883.058166503906,0.471697211265564,"TallEuc","Reserve","4"
"3_7",0,0,0,0,0,3,25,8234.912109375,0.284080922603607,860.261779785156,0.474596381187439,"Woodland","Reserve","4"
"30_1",0,0,0,1,0,0,27,7486.1240234375,0.305472910404205,674.779235839844,0.503718614578247,"TallEuc","ModifiedNative","5"
"30_2",0,0,1,0,0,0,21,7014.38671875,0.301355421543121,643.795349121094,0.506072700023651,"TallEuc","Reserve","5"
"32_1",0,0,0,3,0,0,50,7760.35595703125,0.314386636018753,648.014892578125,0.51012110710144,"TallEuc","ModifiedNative","4"
"33_3",0,0,0,6,0,0,48,10792.65625,0.345175117254257,703.005310058594,0.498879700899124,"TallEuc","ModifiedNative","4"
"34_1",0,0,1,2,0,0,52,2060.580078125,0.396452128887177,371.515472412109,0.523141086101532,"Woodland","ModifiedNative","4"
"35_2",0,0,0,0,0,3,59,7881.68115234375,0.285449802875519,247.863967895508,0.52675998210907,"TallEuc","Reserve","4"
"37_1",0,0,0,0,0,2,61,10451.1396484375,0.397325962781906,458.238250732422,0.522020936012268,"Human/Other","Farming","4"
"37_3",0,0,1,0,0,0,57,9199.421875,0.249630495905876,412.900421142578,0.52203756570816,"Woodland","Reserve","4"
"37_4",1,0,0,1,0,0,19,7093.158203125,0.32547801733017,314.231414794922,0.523711740970612,"Human/Other","Plantation","4"
"37_5",0,0,0,0,0,2,71,10268.587890625,0.255328893661499,846.162414550781,0.48052915930748,"TallEuc","ModifiedNative","4"
"38_1",1,0,0,8,0,1,123,12840.541015625,0.227439194917679,765.688293457031,0.495943576097488,"Woodland","ModifiedNative","4"
"38_2",0,0,0,7,0,3,86,13080.595703125,0.231850013136864,691.014709472656,0.505016982555389,"TallEuc","Reserve","4"
"39_2",0,0,0,3,0,0,63,12393.9736328125,0.243456587195396,677.886657714844,0.501621425151825,"Woodland","Reserve","4"
"39_3",0,0,0,2,0,0,63,12393.9736328125,0.243456587195396,677.886657714844,0.501621425151825,"Woodland","Reserve","4"
"4_1",0,0,0,0,2,1,89,4874.78076171875,0.210004329681396,873.307678222656,0.469206064939499,"TallEuc","Reserve","13"
"4_2",4,0,0,0,0,1,20,1640.03356933594,0.336387932300568,794.892761230469,0.480906695127487,"Grassland","Reserve","8"
"4_3",0,0,0,0,0,5,19,3309.0458984375,0.260541945695877,734.148071289062,0.485420167446136,"Rainforest","Reserve","8"
"40_2",0,0,0,2,0,4,34,2314.53100585938,0.331666827201843,42.7325782775879,0.531651318073273,"Human/Other","MiningEtc","8"
"42_6",0,0,0,0,0,4,107,13109.314453125,0.26169154047966,130.761840820312,0.523627936840057,"TallEuc","Reserve","8"
"43_2",0,0,0,0,0,1,75,4943.12548828125,0.283800065517426,332.722991943359,0.519825100898743,"Woodland","Reserve","8"
"44_1",0,0,0,2,0,2,58,7892.078125,0.203871041536331,461.670349121094,0.506495237350464,"Rainforest","Reserve","4"
"44_2",4,0,0,1,0,7,58,7892.078125,0.203871041536331,461.670349121094,0.506495237350464,"Rainforest","Reserve","4"
"44_3",0,0,0,2,0,3,56,10259.46875,0.212256655097008,714.555603027344,0.486743479967117,"TallEuc","Reserve","4"
