Predictor,OddRatio,Upper,Lower,Coat
moonNew,1.966262497,1.115496706,3.465889399,Tortoiseshell
moonNew,1.456394304,1.26228933,1.680347222,Solid black
moonNew,1.320980181,1.034910917,1.686124488,Brown blotched
moonNew,1.202671307,1.020218212,1.417753827,Brown mackerel
Solar,1.030319414,1.018389346,1.042389239,Brown blotched
Solar,1.028649935,0.998076308,1.060160111,Tortoiseshell
Solar,1.021734589,1.014411995,1.029110043,Solid black
moonNew:Solar,1.017254468,0.991404563,1.043778385,Orange
Rainfall,1.016238359,1.002659317,1.030001302,Tortoiseshell
Rainfall,1.010107401,1.003337271,1.016923212,Brown blotched
Solar,1.009721234,0.989372853,1.030488119,Orange
Solar,1.006631288,0.998115486,1.015219745,Brown mackerel
MinTemp,1.000254105,0.98946118,1.011164758,Brown mackerel
moonNew:Solar,0.999105229,0.988243255,1.010086589,Brown mackerel
MinTemp,0.998547592,0.972722696,1.025058116,Orange
Rainfall,0.997985373,0.992635017,1.003364568,Brown mackerel
moonNew:Solar,0.991331771,0.9560105,1.02795804,Tortoiseshell
Rainfall,0.990371317,0.985340033,0.99542829,Solid black
MinTemp,0.989450181,0.973710398,1.005444392,Brown blotched
moonNew:Solar,0.987934149,0.978816659,0.997136566,Solid black
moonNew:Solar,0.985379998,0.9703125,1.000681472,Brown blotched
MinTemp,0.972642618,0.937689225,1.008898936,Tortoiseshell
Rainfall,0.970667448,0.952154425,0.989540426,Orange
MinTemp,0.960356083,0.951187221,0.969613328,Solid black
moonNew,0.935141377,0.617919192,1.415216434,Orange
