cam,dtnt,BB,BO,TO,TB,TS,SB,Top.Roughness,Dist.FW,FPAR,Elevation,isothermal,Veg,Land.Use,Soil.Class
1_1,2.9,0,0,0,1,0,0,83,7595.771973,0.290813386,178.4251862,0.518140256,Woodland,Reserve,3
1_2,2.7,2,0,0,3,0,0,94,6584.446777,0.28963533,161.6534576,0.519742191,Woodland,Reserve,3
10_1,6,0,0,0,2,0,0,38,3300.754883,0.248863086,601.4956665,0.505739093,TallEuc,Reserve,5
10_2,6.2,3,0,0,0,0,0,35,2912.010498,0.269619524,587.635437,0.507083356,TallEuc,ModifiedNative,4
10_3,7,1,0,0,1,0,0,55,3683.05127,0.229066148,532.038208,0.510020196,TallEuc,ModifiedNative,4
11_1,5.3,0,0,0,3,0,1,56,2323.467529,0.296708733,467.0730896,0.520143211,TallEuc,Reserve,4
11_2,5.4,0,0,0,1,0,0,63,1583.139038,0.301588744,515.6193848,0.514762938,TallEuc,Reserve,4
11_3,7.2,1,0,0,1,0,0,47,2313.34082,0.281787306,540.4708862,0.510629714,TallEuc,Reserve,4
11_4,6.9,5,0,0,0,0,0,33,3152.631592,0.30542618,510.6916809,0.517404497,TallEuc,Reserve,4
12_1,5,0,0,0,1,0,1,88,2228.837646,0.245295182,578.9497681,0.509182334,Shurbland,Reserve,4
12_2,3.8,1,0,1,1,0,0,21,3275.639648,0.278195888,566.8447876,0.509736717,TallEuc,ModifiedNative,4
12_3,4.7,1,0,4,5,0,0,25,2902.2146,0.252601653,578.2189941,0.506688952,TallEuc,ModifiedNative,4
13_1,3.5,1,0,0,0,0,0,61,4340.67334,0.274805546,513.6738892,0.514621437,TallEuc,Reserve,4
13_2,4.5,1,0,0,0,0,0,53,4469.609375,0.239552751,580.421875,0.507286489,TallEuc,ModifiedNative,4
16_1,10.3,0,0,0,0,0,2,19,7471.546875,0.275154293,431.7400208,0.518259943,TallEuc,ModifiedNative,4
17_1,5.1,0,0,0,1,0,0,36,6362.956055,0.323621541,438.2480774,0.521918535,TallEuc,Reserve,4
18_1,8.3,0,0,3,0,0,0,37,3466.013916,0.271933943,527.1776123,0.517662108,TallEuc,Reserve,4
18_2,7.8,0,0,1,1,0,0,31,4534.206543,0.331885695,546.8612671,0.513567984,TallEuc,ModifiedNative,4
18_3,9.1,0,0,0,1,0,0,61,4191.602051,0.32919392,378.760376,0.521336138,Woodland,Reserve,4
18_4,8.8,5,0,0,0,0,0,37,3466.013916,0.271933943,527.1776123,0.517662108,TallEuc,Reserve,4
19_1,5.7,0,0,0,0,0,0,79,2972.818115,0.323922902,517.8937988,0.512408495,TallEuc,Reserve,4
2_1,3,0,0,0,3,0,1,27,11002.87109,0.35245946,311.2865295,0.511606574,Woodland,Reserve,3
2_2,2.1,0,0,0,2,0,0,106,10378.75977,0.315107077,249.2402649,0.512311757,TallEuc,Reserve,3
2_3,0.7,0,0,0,4,0,0,31,8420.328125,0.328799099,128.1496735,0.523271918,TallEuc,Reserve,3
20_1,8.9,1,0,0,0,0,0,126,6081.896973,0.339349419,312.7416077,0.529242754,Woodland,Reserve,4
21_1,6.2,0,0,0,0,0,1,29,3331.336914,0.320629656,489.9825134,0.516156018,Woodland,Reserve,4
22_1,4.5,0,0,1,0,1,0,25,1685.174072,0.242727786,651.8817139,0.507102787,Shurbland,ModifiedNative,5
23_1,5.3,0,0,0,1,0,0,28,3917.061523,0.281289071,159.5470123,0.53155601,TallEuc,Reserve,11
23_2,8.5,0,0,0,0,0,4,72,6879.437012,0.302813381,273.240387,0.530129552,Woodland,Reserve,11
23_3,9.3,0,0,1,0,0,3,52,7872.902344,0.290928632,381.1809387,0.519990921,TallEuc,Reserve,11
24_1,11,0,0,0,0,0,0,49,11727.50195,0.343096763,350.2685242,0.528294742,TallEuc,ModifiedNative,4
25_2,9.6,0,0,0,2,0,0,30,11682.78418,0.336683989,425.795166,0.524462521,TallEuc,Reserve,4
26_3,6.8,0,0,0,0,0,2,107,10283.19922,0.271840245,447.2628174,0.522742689,TallEuc,ModifiedNative,4
27_3,6.7,0,0,0,3,0,0,42,9763.175781,0.311671704,845.6178589,0.487059146,TallEuc,Reserve,5
28_1,7.9,1,0,0,0,0,0,43,8079.87793,0.30682385,898.5618286,0.481859088,TallEuc,Reserve,5
28_2,8.3,2,0,0,0,0,0,138,8091.505859,0.313412488,830.3225708,0.49326691,TallEuc,Reserve,5
29_1,9.5,0,0,1,0,0,0,31,770.9017334,0.425578296,252.9664764,0.532391489,TallEuc,Farming,12
29_2,10.4,1,1,0,1,0,0,33,7146.850098,0.338489026,336.3490906,0.530829966,TallEuc,Reserve,4
29_4,8.6,0,0,1,0,0,0,30,2060.266357,0.402559012,391.4337463,0.531116605,Human/Other,Reserve,4
29_5,10.4,0,1,0,0,0,0,21,5037.515625,0.360945433,325.649231,0.529609144,TallEuc,ModifiedNative,4
3_1,6.1,0,0,0,1,0,0,24,12301.9873,0.23779951,641.3352661,0.49450019,Shurbland,ModifiedNative,4
3_2,7.2,0,0,0,0,0,0,95,13608.96875,0.235170096,741.0014038,0.489415139,TallEuc,Reserve,4
3_3,8.1,0,0,0,1,0,2,126,13308.0459,0.239053413,717.6551514,0.490353703,TallEuc,ModifiedNative,4
3_4,6.9,0,0,0,0,0,5,19,13503.05762,0.283023536,904.2320557,0.473910987,TallEuc,Reserve,4
3_5,8,0,0,0,0,0,0,104,12327.2666,0.234393984,894.3485718,0.471649498,TallEuc,Reserve,13
3_6,7.1,0,0,0,0,0,1,23,11770.06641,0.226728454,883.0581665,0.471697211,TallEuc,Reserve,4
3_7,4.3,0,0,0,0,0,3,25,8234.912109,0.284080923,860.2617798,0.474596381,Woodland,Reserve,4
30_1,9.1,0,0,0,1,0,0,27,7486.124023,0.30547291,674.7792358,0.503718615,TallEuc,ModifiedNative,5
30_2,9.4,0,0,1,0,0,0,21,7014.386719,0.301355422,643.7953491,0.5060727,TallEuc,Reserve,5
32_1,1.2,0,0,0,3,0,0,50,7760.355957,0.314386636,648.0148926,0.510121107,TallEuc,ModifiedNative,4
33_3,3.8,0,0,0,6,0,0,48,10792.65625,0.345175117,703.0053101,0.498879701,TallEuc,ModifiedNative,4
34_1,3.6,0,0,1,2,0,0,52,2060.580078,0.396452129,371.5154724,0.523141086,Woodland,ModifiedNative,4
35_2,6.3,0,0,0,0,0,3,59,7881.681152,0.285449803,247.8639679,0.526759982,TallEuc,Reserve,4
37_1,1.1,0,0,0,0,0,2,61,10451.13965,0.397325963,458.2382507,0.522020936,Human/Other,Farming,4
37_3,1.7,0,0,1,0,0,0,57,9199.421875,0.249630496,412.9004211,0.522037566,Woodland,Reserve,4
37_4,5.5,1,0,0,1,0,0,19,7093.158203,0.325478017,314.2314148,0.523711741,Human/Other,Plantation,4
37_5,7.6,0,0,0,0,0,2,71,10268.58789,0.255328894,846.1624146,0.480529159,TallEuc,ModifiedNative,4
38_1,6.3,1,0,0,8,0,1,123,12840.54102,0.227439195,765.6882935,0.495943576,Woodland,ModifiedNative,4
38_2,4.9,0,0,0,7,0,3,86,13080.5957,0.231850013,691.0147095,0.505016983,TallEuc,Reserve,4
39_2,9.4,0,0,0,3,0,0,63,12393.97363,0.243456587,677.8866577,0.501621425,Woodland,Reserve,4
39_3,8.8,0,0,0,2,0,0,63,12393.97363,0.243456587,677.8866577,0.501621425,Woodland,Reserve,4
4_1,6.1,0,0,0,0,2,1,89,4874.780762,0.21000433,873.3076782,0.469206065,TallEuc,Reserve,13
4_2,7.3,4,0,0,0,0,1,20,1640.033569,0.336387932,794.8927612,0.480906695,Grassland,Reserve,8
4_3,7.9,0,0,0,0,0,5,19,3309.045898,0.260541946,734.1480713,0.485420167,Rainforest,Reserve,8
40_2,2.4,0,0,0,2,0,4,34,2314.531006,0.331666827,42.73257828,0.531651318,Human/Other,MiningEtc,8
42_6,10.3,0,0,0,0,0,4,107,13109.31445,0.26169154,130.7618408,0.523627937,TallEuc,Reserve,8
43_2,13.6,0,0,0,0,0,1,75,4943.125488,0.283800066,332.7229919,0.519825101,Woodland,Reserve,8
44_1,8.9,0,0,0,2,0,2,58,7892.078125,0.203871042,461.6703491,0.506495237,Rainforest,Reserve,4
44_2,9.2,4,0,0,1,0,7,58,7892.078125,0.203871042,461.6703491,0.506495237,Rainforest,Reserve,4
44_3,12.1,0,0,0,2,0,3,56,10259.46875,0.212256655,714.555603,0.48674348,TallEuc,Reserve,4
45_1,4.5,0,0,0,1,0,0,32,5068.303223,0.19342275,823.1699829,0.477238297,Rainforest,Reserve,4
45_2,3.9,0,0,0,0,0,0,171,4838.175293,0.18108891,754.9710083,0.481859714,Rainforest,Reserve,4
46_1,9.8,0,0,0,0,0,0,175,14475.33398,0.237055466,834.7270508,0.478922397,TallEuc,ModifiedNative,4
47_1,4.1,0,0,0,5,0,0,31,8931.650391,0.260805219,520.4890137,0.508614957,TallEuc,ModifiedNative,4
47_2,4.5,0,0,0,4,0,0,94,8713.767578,0.195762143,535.3520508,0.5059973,Woodland,Reserve,4
47_3,4.6,0,0,1,2,0,1,66,9562.09082,0.203060851,486.8146973,0.507302642,TallEuc,Reserve,4
48_1,3.7,0,0,0,6,0,2,28,8995.548828,0.246523187,642.178894,0.496556848,Human/Other,Plantation,4
48_2,5.6,0,0,0,0,0,6,41,8999.099609,0.207186833,587.0076294,0.502175033,Shurbland,Reserve,4
48_3,6.9,0,0,0,0,2,0,53,11761.33691,0.211876348,806.1513062,0.477001876,Human/Other,Plantation,4
48_4,5.5,0,0,0,2,1,0,81,11013.6875,0.193812042,676.8626709,0.492561102,TallEuc,Reserve,4
48_5,4.1,0,0,0,5,0,3,28,9751.438477,0.197635844,672.4335938,0.494651943,Rainforest,Reserve,4
49_1,2.7,0,0,0,3,0,2,89,4248.5,0.234893754,837.9398193,0.479956061,Shurbland,Reserve,4
49_3,2.1,0,0,0,10,1,6,89,4248.5,0.234893754,837.9398193,0.479956061,Shurbland,Reserve,4
5_1,9.2,0,0,3,0,0,0,119,5538.220703,0.280753344,331.0010986,0.524471223,TallEuc,ModifiedNative,4
5_2,8.6,2,0,0,2,0,0,131,6530.296387,0.358295202,283.7745056,0.529328167,Woodland,Reserve,4
50_1,5.1,0,0,0,0,0,0,166,4370.631836,0.222675204,593.5767822,0.495230675,TallEuc,Reserve,4
51_1,5.4,0,0,0,1,0,0,35,10869.62305,0.325192928,109.3496475,0.51409018,Woodland,Reserve,11
51_3,3.3,2,0,0,0,0,1,60,12799.77051,0.324905694,174.4757996,0.512711883,Woodland,ModifiedNative,4
52_1,5.1,0,1,0,3,0,1,22,12175.40527,0.220527336,488.2168884,0.502303183,TallEuc,ModifiedNative,5
52_2,3.4,0,0,0,0,0,1,54,12174.22559,0.179369748,498.7140198,0.499321103,Human/Other,Plantation,5
52_3,2.8,0,0,0,0,0,0,65,12799.15332,0.21540454,494.4498291,0.498076916,TallEuc,Reserve,5
53_2,3.2,2,0,0,3,0,0,58,10883.57129,0.234672934,552.5046997,0.502223372,Woodland,Reserve,4
54_1,4.2,2,0,0,6,0,0,153,12980.53613,0.200690135,500.4090881,0.495407164,TallEuc,Reserve,4
54_2,5.1,0,0,0,2,0,0,30,12218.81738,0.200485811,557.7512207,0.494199425,Rainforest,Reserve,4
54_3,6.3,1,0,0,0,0,6,33,14877.71094,0.199578181,553.2869263,0.495644152,Human/Other,Plantation,4
55_1,3,0,0,0,0,0,1,87,18067.83008,0.194214046,617.93396,0.494180888,Human/Other,Plantation,4
57_1,3.8,0,0,0,0,0,0,51,20525.95117,0.191457346,323.4685669,0.513380766,Human/Other,Plantation,4
