Predictors,OddsRatio,Lower,Upper,Coat
VegTallEuc,1.245049854,0.588928178,2.632153119,Brown blotched
VegWoodland,0.866667753,0.399345696,1.88085912,Brown blotched
FPAR,1.146066481,0.874492886,1.501977203,Brown blotched
Elevation,0.642109688,0.465747965,0.885253147,Brown blotched
Isothermality,0.746149389,0.545997722,1.019672589,Brown blotched
Top.Roughness,1.081658551,0.842599779,1.388542046,Brown blotched
DTNT,0.955977772,0.740013884,1.234968046,Brown blotched
VegTallEuc,1.203086905,0.424431921,3.410247977,Orange
VegWoodland,0.943316952,0.2990163,2.97591427,Orange
FPAR,1.483785145,1.036088924,2.124931854,Orange
Elevation,2.548319774,1.472446464,4.410302059,Orange
Isothermality,2.7187706,1.48549942,4.975911449,Orange
Top.Roughness,1.088732582,0.743327887,1.594637651,Orange
DTNT,1.079124546,0.751710962,1.549145674,Orange
VegTallEuc,1.866428578,1.056900105,3.296012197,Brown mackerel
VegWoodland,1.035225608,0.569143451,1.882991112,Brown mackerel
FPAR,1.312450559,1.074802295,1.602644949,Brown mackerel
Elevation,0.870607074,0.685166575,1.106237088,Brown mackerel
Isothermality,0.844542786,0.665472093,1.071799291,Brown mackerel
Top.Roughness,1.092163555,0.906531278,1.315808136,Brown mackerel
DTNT,1.226447908,1.023872723,1.469102982,Brown mackerel
VegTallEuc,0.831262314,0.148035888,4.667767023,Tortoiseshell
VegWoodland,2.048413963,0.344418744,12.18284381,Tortoiseshell
FPAR,0.430785723,0.177109238,1.047807223,Tortoiseshell
Elevation,4.051087947,1.565485987,10.48320694,Tortoiseshell
Isothermality,1.493097981,0.728974296,3.058189557,Tortoiseshell
Top.Roughness,0.92379878,0.491436559,1.73655006,Tortoiseshell
DTNT,0.583018327,0.257512213,1.319977665,Tortoiseshell
