cam,dtnt
55,52.1
58,52.6
60,47.7
62,47.7
65,53.2
67,53.5
69,53.8
70,54.1
71,54
72,54.2
73,54.4
74,54.8
75,47.6
76,47.7
78,47.7
81,48.1
82,48.3
83,48.1
85,48
86,48
87,48
89,47.9
91,47.9
92,47.8
94,49.7
96,49.7
98,49.8
100,49.8
102,49.6
104,49.6
105,49.6
108,49.7
112,49.7
114,49.8
116,49.9
118,49.9
120,50.1
122,50.3
123,50.3
124,47.8
128,50.2
130,50.2
131,50.2
134,50.6
136,50.7
137,50.7
183,37.4
184,37.8
185,37.5
187,12.3
189,36.3
191,36.1
192,35.8
195,35.7
197,35.3
200,35
201,34.7
202,34.4
203,34.4
205,34.1
206,34.2
208,33.5
215,31.4
216,30.8
217,31.1
218,30.4
219,30.3
220,30.4
221,30.1
225,29.6
230,28.7
272,47.7
273,47.6
275,53
277,47.6
278,30.2
281,49.7
284,49.6
300,35.5
301,50.5
302,49.9
303,47.7
304,49.7
305,49.8
306,49.8
320,36.5
321,36.2
322,36
323,35.2
326,50.5
1_1,2.9
1_2,2.7
10_1,6
10_2,6.2
10_3,7
100b,49.8
100c,49.8
102b,49.6
105b,49.6
11_1,5.3
11_2,5.4
11_3,7.2
11_4,6.9
11_5,6.8
116b,49.9
118b,49.8
118c,49.9
12_1,5
12_2,3.8
12_3,4.7
122b,50.3
122c,50.3
124b,47.8
128b,50.2
13_1,3.5
13_2,4.5
136b,50.6
15_1,10.2
16_1,10.3
17_1,5.1
18_1,8.3
18_2,7.8
18_3,9.1
18_4,8.8
18_5,7.4
183b,37.4
185b,37.5
187b,36.7
189b,36.4
19_1,5.7
192b,35.8
197b,35.3
2_1,3
2_2,2.1
2_3,0.7
20_1,8.9
200b,35
201b,34.8
21_1,6.2
215b,31.4
217b,31.1
219b,30.4
22_1,4.5
220b,30.4
221b,30.1
223b,30
226b,29.6
228b,29.1
228c,29
23_1,5.3
23_2,8.5
23_3,9.3
23_4,8.1
23_5,10.2
24_1,11
25_1,10.2
25_2,9.6
25_3,8.8
26_1,8.3
26_2,8.4
26_3,6.8
27_1,5.6
27_3,6.7
28_1,7.9
28_2,8.3
28_3,8.5
281b,49.7
29_1,9.5
29_2,10.4
29_3,9.1
29_4,8.6
29_5,10.4
3_1,6.1
3_2,7.2
3_3,8.1
3_4,6.9
3_5,8
3_6,7.1
3_7,4.3
30_1,9.1
30_2,9.4
30_3,9
303b,47.7
306b,49.7
31_1,10.9
32_1,1.2
32_2,0.6
320b,36.5
321b,36.2
322b,36
323b,35.2
33_1,4.7
33_2,4.3
33_3,3.8
34_1,3.6
35_1,5.4
35_2,6.3
36_1,7.4
36_2,8.6
36_3,6.9
37_1,1.1
37_2,2.8
37_3,1.7
37_4,5.5
37_5,7.6
38_1,6.3
38_2,4.9
38_3,5.7
39_1,9.2
39_2,9.4
39_3,8.8
39_4,8
4_1,6.1
4_2,7.3
4_3,7.9
4_4,6.3
4_5,4.1
40_1,2.7
40_2,2.4
41_1,3
41_2,3.3
41_3,3.6
42_1,4.5
42_2,6.2
42_3,9.2
42_4,1.6
42_5,9
42_6,10.3
43_1,12.4
43_2,13.6
43_3,14.1
44_1,8.9
44_2,9.2
44_3,12.1
45_1,4.5
45_2,3.9
45_3,4.1
46_1,9.8
47_1,4.1
47_2,4.5
47_3,4.6
48_1,3.7
48_2,5.6
48_3,6.9
48_4,5.5
48_5,4.1
49_1,2.7
49_2,3.1
49_3,2.1
5_1,9.2
5_2,8.6
50_1,5.1
51_1,5.4
51_2,4.6
51_3,3.3
52_1,5.1
52_2,3.4
52_3,2.8
53_1,5.9
53_2,3.2
53_3,1.9
54_1,4.2
54_2,5.1
54_3,6.3
55_1,3
55b,52.3
57_1,3.8
57_2,4.3
57_3,3.6
58_1,6.2
58_2,6.1
59_1,5.3
59_2,4.8
59_3,4.8
6_1,9.7
6_2,9.5
60_1,3.9
60_2,5.1
60_3,3.5
60_4,5.7
60_5,6.7
61_1,1.2
61_2,1.5
61_3,3
62_1,1.9
62_2,1.5
62_3,1.3
62b,47.7
63_1,2.9
63_2,2.5
63_3,2.5
64_1,4.7
65_1,5
65_2,6.3
65_3,6.8
66_1,1.5
67_1,6.2
67b,53.6
68_1,9.3
68_2,9.1
68_3,6.5
69_1,1.9
69a,53.8
7_1,8.6
7_2,8.4
70_1,2.8
70_2,8.7
70_3,8.7
70_4,5
70_5,3.9
71b,53.8
71c,54
71d,53.9
72_1,9
72_2,8.8
72b,54.2
73_1,2.6
73_2,3.3
73_3,2.5
74_1,3.6
74_2,3.7
74_3,3.2
74b,54.7
74c,54.5
75_1,7.4
75_2,6.9
75_3,7.5
75_4,6.1
75_5,3.6
75_6,5
76_1,5.9
76_2,5.4
76b,47.7
78b,47.7
8_1,7.8
81b,48.1
85c,48
9_1,6.4
9_2,6.3
9_3,7.4
92c,47.9
92d,48.2
92e,48.4
92f,48.4
AF-CX2_S1-2,7.8
AF-N1,8.2
AF-N1_S4-5,8.2
AF-N2,16.4
AF-N3,18.5
AF-N4,20.2
AF-N5,20.7
AF-S10-C1,6.7
AF-S10-C1_S1,7.1
AF-S10-C2,8.2
AF-S10-C3,9.5
AF-S10-C3_S1-3,9.5
AF-S10-C4,9.8
AF-S10-C4_S1-2,9.8
AF-S10-C5,10.2
