camera,status,loc,ft,s0.date,s1.rd,s1.date,s1.pt,s2.rd,s2.date,s2.pt,s3.rd,s3.date,s3.pt,s4.rd,s4.date,s4.pt,s5.rd,s5.date,s5.pt,s6.rd,s6.date,s6.pt,s7.rd,s7.date,s7.pt,s8.rd,s8.date,s8.pt,,
AF-N1,1,b,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/12/2019,NA,94,17/06/2020,o,43,25/11/2020,o,161,5/05/2021,o,,582
AF-N2,1,b,w,NA,NA,NA,NA,NA,NA,NA,NA,1/04/2019,NA,21,11/07/2019,o,71,4/12/2019,o,153,17/06/2020,o,113,26/11/2020,o,125,6/05/2021,o,,1263
AF-N3,1,b,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26/11/2020,NA,161,6/05/2021,o,,
AF-N4,1,b,w,NA,NA,NA,NA,NA,NA,NA,NA,2/04/2019,NA,40,11/07/2019,o,2,5/12/2019,o,NA,17/06/2020,NA,94,26/11/2020,o,161,6/05/2021,o,,
AF-N5,1,b,w,NA,NA,NA,NA,NA,NA,NA,NA,2/04/2019,NA,48,11/07/2019,o,117,5/12/2019,o,118,18/06/2020,o,NA,26/11/2020,o,162,7/05/2021,o,,
AF-S10-C1,1,r,w,NA,NA,6/08/2018,NA,81,26/10/2018,o,100,21/02/2019,o,139,10/07/2019,o,105,4/12/2019,o,137,17/06/2020,o,161,25/11/2020,o,161,5/05/2021,o,,
AF-S10-C2,1,r,w,7/06/2018,60,6/08/2018,o,81,26/10/2018,o,98,21/02/2019,o,139,10/07/2019,o,147,4/12/2019,o,189,17/06/2020,o,150,25/11/2020,o,161,5/05/2021,o,,
AF-S10-C3,1,r,w,NA,NA,NA,NA,NA,NA,NA,NA,21/02/2019,NA,139,10/07/2019,o,147,4/12/2019,o,163,17/06/2020,o,139,25/11/2020,o,161,5/05/2021,o,,
AF-S10-C4,1,r,w,NA,NA,NA,NA,NA,NA,NA,NA,21/02/2019,NA,139,10/07/2019,o,147,4/12/2019,o,182,17/06/2020,o,160,25/11/2020,o,161,5/05/2021,o,,
AF-S10-C5,1,r,w,NA,NA,NA,NA,NA,NA,NA,NA,21/02/2019,NA,139,10/07/2019,c,147,4/12/2019,o,196,17/06/2020,o,161,25/11/2020,o,64,5/05/2021,o,,
AF-S1-C1,1,r,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/11/2020,NA,69,5/05/2021,o,,
AF-S1-C2,1,b,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17/06/2020,NA,161,25/11/2020,o,161,5/05/2021,o,,
AF-S1-C3,1,r,w,NA,NA,NA,NA,NA,NA,NA,NA,1/04/2019,NA,68,11/07/2019,o,143,4/12/2019,o,144,17/06/2020,o,156,25/11/2020,o,162,5/05/2021,o,,
AF-S1-C4,1,r,w,NA,NA,8/08/2018,NA,78,25/10/2018,o,86,1/04/2019,o,54,11/07/2019,o,85,4/12/2019,o,69,17/06/2020,o,49,25/11/2020,o,144,5/05/2021,o,,
AF-S1-C5,1,r,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25/11/2020,NA,161,5/05/2021,o,,
AF-S2-C1,1,r,w,NA,NA,NA,NA,NA,25/10/2018,NA,96,1/04/2019,c,70,11/07/2019,o,84,5/12/2019,o,178,18/06/2020,o,121,26/11/2020,o,110,7/05/2021,o,,
AF-S2-C2,1,r,w,NA,NA,NA,NA,NA,25/10/2018,NA,73,1/04/2019,o,53,11/07/2019,o,103,5/12/2019,o,155,18/06/2020,o,132,26/11/2020,o,162,7/05/2021,o,,
AF-S2-C3,1,r,w,NA,NA,NA,NA,NA,25/10/2018,NA,81,1/04/2019,o,30,11/07/2019,o,147,5/12/2019,o,153,18/06/2020,o,145,26/11/2020,o,162,7/05/2021,o,,
AF-S2-C4,1,b,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18/06/2020,NA,160,26/11/2020,o,162,7/05/2021,o,,
AF-S2-C5,1,r,w,NA,NA,NA,NA,NA,25/10/2018,NA,100,1/04/2019,o,68,11/07/2019,o,147,5/12/2019,o,94,18/06/2020,o,57,26/11/2020,o,162,7/05/2021,o,,
AF-S3-C1,1,r,w,NA,NA,NA,NA,NA,24/10/2018,NA,72,1/04/2019,o,63,11/07/2019,o,132,5/12/2019,o,177,18/06/2020,o,155,26/11/2020,o,162,7/05/2021,o,,
AF-S3-C2,1,r,w,NA,NA,NA,NA,NA,24/10/2018,NA,87,1/04/2019,o,56,11/07/2019,o,146,5/12/2019,o,148,17/06/2020,o,127,26/11/2020,o,162,7/05/2021,o,,
AF-S3-C3,1,r,w,NA,NA,NA,NA,NA,24/10/2018,NA,103,1/04/2019,o,76,11/07/2019,o,130,5/12/2019,o,110,18/06/2020,o,49,26/11/2020,o,162,7/05/2021,o,,
AF-S3-C4,1,r,w,NA,NA,NA,NA,NA,24/10/2018,NA,43,1/04/2019,o,37,11/07/2019,o,42,5/12/2019,o,9,17/06/2020,o,158,26/11/2020,o,161,6/05/2021,o,,
AF-S3-C5,1,r,w,NA,NA,NA,NA,NA,24/10/2018,NA,100,1/04/2019,o,76,11/07/2019,o,147,5/12/2019,o,188,18/06/2020,o,157,26/11/2020,o,161,6/05/2021,o,,
AF-S4-C1,1,r,w,NA,NA,NA,NA,NA,24/10/2018,NA,96,2/04/2019,o,73,11/07/2019,o,147,5/12/2019,o,180,17/06/2020,o,70,26/11/2020,o,154,6/05/2021,o,,
AF-S4-C2,1,r,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/05/2021,NA,,
AF-S4-C3,1,r,w,NA,NA,7/08/2018,NA,78,24/10/2018,o,74,2/04/2019,o,53,11/07/2019,o,107,5/12/2019,o,125,17/06/2020,o,88,26/11/2020,c,59,6/05/2021,o,,
AF-S4-C4,1,g,i,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5/12/2019,NA,195,17/06/2020,o,162,26/11/2020,o,92,6/05/2021,o,,
